Name,Expression,Notes
# === BURDEN PARAMETERS (mutually-exclusive sum across NMC + NHLS + PIH) ===,,
n_nmc_annual,690,"Annual NMC pesticide notifications, 2020-2024 mean | dist=fixed(,) | NICD NMC Annual Reports"n_nhls_severe_annual,2000,"Annual NHLS severe BChE inhibitions (<50% normal) | dist=fixed(,) | NHLS LIS data 2020-2024"
n_pih_annual,9000,"Annual PIH pesticide-related calls | dist=fixed(,) | Red Cross PIH 2019 + linear extrapolation"
d_status_quo_v1_hotspot,0.45,"LEGACY: v1 expert-elicited hotspot-cluster detection probability (binomial-cluster argument, not per-case). Retained for analysis_report_v2.qmd back-compat only. | dist=beta(45,55) | Expert elicitation, deprecated"
d_option1_NHLS_MOU,0.52,"+ Monthly aggregated NHLS BChE data | dist=beta(52,48) | Expert elicitation"
d_option2_DALRRD_data,0.58,"+ DALRRD pesticide product linkage | dist=beta(58,42) | Expert elicitation"
d_option3_BChE_autonotify,0.67,"+ 24-hour lab-triggered alerts | dist=beta(67,33) | Expert elicitation"
d_option4_PIH_quarterly,0.61,"+ PIH quarterly clinical toxicology summaries | dist=beta(61,39) | Expert elicitation"
d_option5_provincial_response,0.74,"+ Rapid field investigation (requires 3 or 4) | dist=beta(74,26) | Expert elicitation"
d_full_package,0.83,"All Options 1-5 combined (synergistic) | dist=beta(83,17) | Expert elicitation"
# === OPTION COSTS — SETUP & ANNUAL OPERATING (REVISED, ZAR 2025) ===,,
c_status_quo_program,300000,"Current NICD NMC pesticide program: 0.2 FTE analyst R250k + dashboard R30k + travel R20k | dist=gamma(25,12000) | NICD costing"
c_option1_NHLS_MOU_setup,80000,"Legal + governance + data-mapping (one-off) | dist=gamma(25,3200) | NICD legal + data engineer"
c_option1_NHLS_MOU_operating,60000,"Monthly analyst time + QA + reporting | dist=gamma(25,2400) | 0.05 FTE analyst"
c_option2_DALRRD_setup,80000,"Inter-agency MOU + product database mapping | dist=gamma(25,3200) | Comparable to Option 1"
c_option2_DALRRD_operating,60000,"Annual data refresh + analyst time | dist=gamma(25,2400) | 0.05 FTE analyst"
c_option3_BChE_setup,200000,"NHLS LIS reconfiguration: HL7 message dev + UAT + go-live | dist=gamma(25,8000) | NHLS IT estimate (was missing)"
c_option3_BChE_operating,55000,"Auto-notification middleware hosting + maintenance | dist=gamma(25,2200) | NHLS IT operating"
c_option4_PIH_setup,40000,"Reporting template + data dictionary (one-off) | dist=gamma(25,1600) | PIH admin"
c_option4_PIH_operating,187000,"PIH analyst 0.15 FTE + reporting infrastructure | dist=gamma(25,7480) | REVISED UP - was R62k underestimate"
c_option5_per_province_baseline,40000,"Per-province training + SOP + field kit + coordination | dist=gamma(25,1600) | Provincial DoH"
c_option5_national_baseline,360000,"All 9 provinces baseline (9 * R40k) | dist=fixed(,) | Sum"
c_response_per_hotspot,55000,"Per-hotspot field investigation: 2 staff*2 days + travel + 7 env samples * R1.5k + 7 GC-MS analyses * R2.5k + reporting | dist=gamma(25,2200) | REVISED UP - was R15k (3.5x underestimate)"
c_full_package_narrow_setup,400000,"All Options 1-5 setup combined | dist=gamma(25,16000) | Sum of setups"
c_full_package_narrow_operating,237000,"Narrow surveillance coordination ongoing | dist=fixed(,) | Decision model headline"
c_full_package_wholesystem_operating,1193000,"Whole-system: + induced hospital + lab + EHP + DALRRD enforcement demand | dist=fixed(,) | Decision model headline"
# === WHOLE-SYSTEM (INDUCED-DEMAND) COMPONENTS ===,,
c_induced_hospital_workload,188000,"Additional ED + ward workload from improved case finding | dist=gamma(25,7520) | Costing analysis"
c_induced_lab_volume,493000,"NHLS BChE + repeat tests + confirmatory at higher detection rate | dist=gamma(25,19720) | NHLS volume modelling"
c_induced_EHP_investigations,154000,"Additional EHP field investigations beyond Option 5 baseline | dist=gamma(25,6160) | Provincial DoH"
c_induced_DALRRD_enforcement,121000,"DALRRD inspections + recalls + compliance follow-up | dist=gamma(25,4840) | DALRRD"
# === OPTION 6 — SENTINEL TOXICOLOGY (PARALLEL RESEARCH INVESTMENT) ===,,
c_option6_pilot_year1,1200000,"CHB pilot 12 months: research nurse 0.5 FTE + GC-MS testing + clinical battery | dist=gamma(25,48000) | Concept Note DRAFT 3"
c_option6_full_5site_annual,3625000,"5 sentinel sites full rollout annual | dist=gamma(25,145000) | Concept Note DRAFT 3"
c_gcms_screen_per_specimen,2500,"GC-MS / LC-MS multi-residue pesticide screen, per specimen | dist=gamma(25,100) | NHLS Forensic Chem"
c_clinical_battery_per_patient,1500,"Enhanced clinical battery: BChE + LFT + U&E + repeat | dist=gamma(25,60) | NHLS price list"
c_research_nurse_05FTE_per_site,175000,"0.5 FTE research nurse per sentinel site | dist=gamma(25,7000) | Salary band TASK research"
n_specimens_per_site_per_year,646,"2 specimens (gastric + urine) * 323 patients per site | dist=fixed(,) | Sample-size calc, p=0.3, d=0.05"
# === DALY MONETISATION ===,,
lambda_DALY_threshold,38500,"SA cost-effectiveness threshold per DALY averted | dist=gamma(25,1540) | Edoka & Stacey 2020"
yld_per_survivor_no_sequelae,0.05,"Acute illness ~3 weeks, disability weight 0.4 | dist=gamma(5,0.01) | GBD weights"
yld_per_survivor_with_OPIDN,2.5,"Long-term neuropathy (intermediate syndrome / OPIDN), 5-yr partial disability | dist=gamma(25,0.1) | GBD"
p_OPIDN_among_severe_OP,0.10,"Proportion of severe OP survivors developing OPIDN/intermediate syndrome | dist=beta(10,90) | OP literature"
yld_blended_per_survivor,0.30,"Blended YLD per survivor (90% no sequelae * 0.05 + 10% OPIDN * 2.5) | dist=fixed(,) | Derived"
# === NET MONETARY BENEFIT FRAMEWORK ===,,
NMB_full_package_narrow,259763000,"NMB(PKG) = (C0 - C_PKG) - K_PKG_narrow ~ R260M | dist=fixed(,) | Burden-economics model"
NMB_full_package_wholesystem,258807000,"NMB whole-system perspective | dist=fixed(,) | Burden-economics model"
ROI_narrow_base,1100,"Avoided burden / narrow cost ~ 1100x | dist=fixed(,) | Base case"
ROI_wholesystem_base,220,"Avoided burden / whole-system cost ~ 220x | dist=fixed(,) | Base case"
# === SURVEILLANCE OPTIONS — CANONICAL (S-taxonomy, refactored 2026) ===,,
c_S1_NHLS_NMC_feed_setup,80000,"S1 NHLS→NMC IT feed: legal + governance + data-mapping (one-off) | dist=gamma(25,3200) | NICD legal + data engineer (was c_option1_NHLS_MOU_setup)"
c_S1_NHLS_NMC_feed_op,60000,"S1 NHLS→NMC IT feed operating: 0.05 FTE analyst + QA | dist=gamma(25,2400) | NICD (was c_option1_NHLS_MOU_operating)"
c_S3a_BChE_autonotify_setup,200000,"S3a BChE auto-notify setup: NHLS LIS HL7 reconfiguration + UAT | dist=gamma(25,8000) | NHLS IT (was c_option3_BChE_setup)"
c_S3a_BChE_autonotify_op,55000,"S3a BChE auto-notify operating: middleware hosting + maintenance | dist=gamma(25,2200) | NHLS IT (was c_option3_BChE_operating)"
c_S4_PIH_dashboard_setup,40000,"S4 PIH dashboard / MVD setup: reporting template + data dictionary | dist=gamma(25,1600) | PIH admin"
c_S4_PIH_dashboard_op,42000,"S4 PIH dashboard / MVD operating (MVD redesign reduced PIH analyst burden vs the legacy 0.15 FTE estimate) | dist=gamma(25,1680) | PIH revised"
c_surv_MVP_setup,80000,"Surveillance MVP setup (S1+S3a+S4, IT one-off, dominated by S3a HL7 work) | dist=fixed(,) | Sum, S3a setup dominates"
c_surv_MVP_op,157000,"Surveillance MVP annual operating = S1 (R60k) + S3a (R55k) + S4 (R42k) | dist=fixed(,) | Sum"
# === COORDINATION OPTIONS — CANONICAL (C-taxonomy) ===,,
c_C1_NMC_closure_op,30000,"C1 NMC closure-of-loop field: schema change + EHP training material | dist=gamma(25,1200) | NICD NMC team"
c_C2_referral_form_op,25000,"C2 Structured DALRRD referral form on NMC: form build + DALRRD inbox workflow | dist=gamma(25,1000) | NICD + DALRRD"
c_C3_intel_feed_op,40000,"C3 NICD→DALRRD intelligence feed: quarterly brief + cluster-alert SOP | dist=gamma(25,1600) | NICD analyst + DALRRD liaison"
c_C4_clinician_fb_op,20000,"C4 Clinician auto-feedback: email templating + integration | dist=gamma(25,800) | NICD NMC team"
c_C5_KPI_dashboard_op,30000,"C5 Joint KPI dashboard: KPI definitions + public hosting | dist=gamma(25,1200) | NICD + DALRRD + Provinces"
c_coord_FP_op,145000,"Coordination Full Package annual operating = C1+C2+C3+C4+C5 | dist=fixed(,) | Sum"
p_loop_closed_status_quo,0.011,"P(coordination loop fully closes) under status quo | dist=beta(11,989) | Decision-tree joint product"
p_loop_closed_C3_only,0.40,"P(loop closed) after C3 NICD→DALRRD feed alone | dist=beta(40,60) | Decision-tree placeholder"
p_loop_closed_FP,0.70,"P(loop closed) under Coordination Full Package | dist=beta(70,30) | Decision-tree placeholder"
n_deaths_averted_coord_C3,547,"Deaths averted/yr under C3 only at national scale | dist=fixed(,) | Decision-tree output"
n_deaths_averted_coord_FP,957,"Deaths averted/yr under Coordination Full Package at national scale | dist=fixed(,) | Decision-tree output"
# === TERBUFOS REGULATORY OPTIONS — CANONICAL (T-taxonomy) ===,,
frac_terbufos_attributable_lo,0.20,"Terbufos attributable fraction of fatal SA pesticide poisonings, lower | dist=fixed(,) | Sri Lanka single-agent withdrawals Gunnell 2017"
frac_terbufos_attributable_mid,0.25,"Terbufos attributable fraction, working value | dist=beta(25,75) | Gunnell 2017 + Davies 2023 SA paediatric dominance"
frac_terbufos_attributable_hi,0.35,"Terbufos attributable fraction, upper | dist=fixed(,) | Sri Lanka upper end"
n_deaths_terbufos_attributable_mid,375,"= frac_terbufos_attributable_mid × n_deaths_headline = 0.25 × 1500 | dist=fixed(,) | Derived"
frac_T3_burden_retired,0.70,"Fraction of terbufos-attributable burden retired under Option T3 full withdrawal | dist=beta(70,30) | Sri Lanka substitution-incompleteness 60-80%"
n_deaths_averted_T3_lo,200,"Deaths averted/yr under Option T3, lower bound | dist=fixed(,) | = 0.20 × 0.60 × 1500 × adj"
n_deaths_averted_T3_hi,400,"Deaths averted/yr under Option T3, upper bound | dist=fixed(,) | = 0.35 × 0.80 × 1500 × adj"
n_deaths_averted_T2_lo,80,"Deaths averted/yr under Option T2, lower bound | dist=fixed(,) | Partial informal-market coverage"
n_deaths_averted_T2_hi,180,"Deaths averted/yr under Option T2, upper bound | dist=fixed(,) | Partial informal-market coverage"
c_T2_RUP_enforcement_lo,1000000,"Option T2 RUP + audit + formulation restriction enforcement, lower (DALRRD inspectorate) | dist=fixed(,) | US EPA RUP cost scaled to SA"
c_T2_RUP_enforcement_mid,2000000,"Option T2 enforcement, working value | dist=gamma(25,80000) | US EPA anchor"
c_T2_RUP_enforcement_hi,3000000,"Option T2 enforcement, upper | dist=fixed(,) | US EPA upper"
yield_impact_terbufos_withdrawal_mid,0.03,"SA maize yield impact under T3 full withdrawal, working value (Bt traits cover stalk borer use case) | dist=beta(3,97) | EU 2009 no documented collapse + SA Bt penetration ~85%"
yield_impact_terbufos_withdrawal_hi,0.07,"Yield impact upper sensitivity | dist=fixed(,) | Smallholder non-Bt maize exposure"
leverage_ratio_terbufos_T2,500,"Ratio of household mortality cost retired per rand of T2 regulatory spend | dist=fixed(,) | Lower bound, 200 deaths × R1.5M / R2M"
# === DECISION-TREE NODE PROBABILITIES — CANONICAL (consumed by brief mermaid trees) ===,,
p_death,0.13,"Case-fatality among suspected pesticide-poisoning cases | dist=beta(13,87) | NHLS BChE severe cohort"
p_severe,0.27,"Proportion of survivors with severe morbidity (OPIDN / intermediate syndrome trajectory) | dist=beta(27,73) | OP literature"
p_recover,0.60,"Proportion of survivors with full recovery | dist=beta(60,40) | Complement = 1 - p_severe (rounded)"
rho_secondary,3.0,"Secondary cases per index case from a single uncontrolled source (cluster multiplier) | dist=gamma(9,0.33) | NICD outbreak debriefs"
d_surveillance_mvp,0.78,"Detection probability under Surveillance MVP (S1 + S3a + S4) | dist=beta(78,22) | Expert elicitation, brief tree"
d_surveillance_full_S3b,0.85,"Detection probability under Surveillance MVP + S3b sentinel toxicology | dist=beta(85,15) | Expert elicitation, brief tree"
p_coord_sq_nmc_notified,0.30,"P(case notified on NMC | suspected) under status quo | dist=beta(30,70) | NICD audit"
p_coord_sq_sms_reaches_ehp,0.95,"P(SMS reaches EHP | notified) | dist=beta(95,5) | NICD system check"
p_coord_sq_ehp_investigates,0.60,"P(EHP investigates | SMS received) | dist=beta(60,40) | EHP survey"
p_coord_sq_recorded_on_nmc,0.05,"P(investigation outcome recorded back on NMC | EHP investigates) | dist=beta(5,95) | NICD audit — almost never"
p_coord_sq_refer_dalrrd,0.30,"P(EHP refers to DALRRD | investigates) | dist=beta(30,70) | Informal pathway"
p_coord_sq_dalrrd_acts,0.50,"P(DALRRD takes regulatory action | referred) | dist=beta(50,50) | DALRRD inspectorate"
p_coord_sq_feedback_full,0.10,"P(action fed back to NMC + clinician | DALRRD acts) | dist=beta(10,90) | Typically EHP-only"
# === LEGACY ROWS (v1 5-option taxonomy) — DEPRECATED, retained for back-compat with analysis_report.qmd ===,,
# Use the S/C/T canonical rows above for all new work. The c_option1..c_option5 rows below are v1 and have been superseded.,,
