# clinical confirmation, generating excess EHP investigation demand.,,,
sa_population_ref,63100000,"SA population reference for converting per-individual expected values to annual national totals | dist=fixed(,) | StatsSA mid-year estimate 2025 (63,100,000)",terb.personal_tree
p_p_exposed_sq,0.000332,"Status-quo annual probability an SA individual experiences a clinically-recognised pesticide poisoning = n_true_burden_from_statssa_mid / sa_population_ref = 20960/63100000 | dist=fixed(,) | Derived",terb.personal_tree
p_p_exposed_ban,0.000332,"Annual poisoning probability under ban (held equal to SQ — the ban changes the AGENT mix, not the overall poisoning rate, until substitute-product behaviour is observed) | dist=fixed(,) | Working assumption",terb.personal_tree
p_terbufos_among_poisoned_sq,0.5,"Share of poisoning events involving terbufos under status quo | dist=beta(50,50) | Davies 2023 paediatric dominance generalised; Amua draft",terb.personal_tree
p_terbufos_among_poisoned_ban,0.1,"Residual share of poisoning events still involving terbufos after ban (informal stockpile + cross-border leakage) | dist=beta(10,90) | Sri Lanka post-ban residual; Amua draft",terb.personal_tree
p_die_given_terbufos,0.125,"Case-fatality given exposure to terbufos | dist=beta(125,875) | NHLS severe-BChE cohort, Class Ia OP literature",terb.personal_tree
p_hosp_given_terbufos,0.275,"Probability of hospitalisation (non-fatal) given exposure to terbufos | dist=beta(275,725) | Buckley 2021",terb.personal_tree
p_asymp_given_terbufos,0.600,"Probability of asymptomatic / outpatient course given exposure to terbufos | dist=fixed(,) | Complement (1 - die - hosp)",terb.personal_tree
p_die_given_other,0.010,"Case-fatality given exposure to non-terbufos pesticide | dist=beta(10,990) | Lower-toxicity substitutes",terb.personal_tree
p_hosp_given_other,0.090,"Probability of hospitalisation given exposure to non-terbufos pesticide | dist=beta(90,910) | Lower-toxicity substitutes",terb.personal_tree
p_asymp_given_other,0.900,"Probability of asymptomatic course given non-terbufos pesticide | dist=fixed(,) | Complement",terb.personal_tree
p_background_mortality_personal,0,"Background mortality stub on the not-poisoned branch. Set to 0 so the tree isolates the pesticide-attributable signal; flip to a non-zero value (e.g. 0.01) only if you want all-cause mortality to appear in the rollup. | dist=fixed(,) | Design choice",terb.personal_tree
c_personal_death,1500000,"Per-individual cost of a fatal outcome (human-capital, alias for c_mortality_human_capital) | dist=fixed(,) | = c_mortality_human_capital",terb.personal_tree
c_personal_hospitalisation,80000,"Per-individual cost of a non-fatal hospitalisation (alias for c_morbidity_severe_NMC) | dist=fixed(,) | = c_morbidity_severe_NMC",terb.personal_tree
c_personal_asymptomatic,500,"Per-individual cost of an asymptomatic / PIH-managed episode (alias for c_pih_call_only) | dist=fixed(,) | = c_pih_call_only",terb.personal_tree
# === DEPRECATED ALIASES — v3 S-taxonomy names (use v4 names for all new work) ===,,,
c_per_ehp_investigation_lo,2500,"EHP environmental investigation cost per alert (lower): travel + site visit + interviews + write-up | dist=gamma(25,100) | NDoH EHP unit costing",costs.coord_per_action
c_per_ehp_investigation_mid,4000,"EHP environmental investigation cost per alert (working): travel + site visit + sampling + interviews + write-up + supervisor review | dist=gamma(25,160) | NDoH EHP unit costing",costs.coord_per_action
c_per_ehp_investigation_hi,7000,"EHP environmental investigation cost per alert (upper): remote/rural site with overnight, full sampling panel, follow-up visit | dist=gamma(25,280) | NDoH EHP unit costing",costs.coord_per_action
c_per_dalrrd_inspection_lo,6000,"DALRRD inspectorate site visit + sampling cost per referral (lower): urban, single-product, single visit | dist=gamma(25,240) | DALRRD inspectorate unit cost",costs.coord_per_action
c_per_dalrrd_inspection_mid,12000,"DALRRD inspectorate site visit + sampling + enforcement letter per referral (working): mid-distance, single-site, sample dispatch, follow-up | dist=gamma(25,480) | DALRRD inspectorate unit cost",costs.coord_per_action
c_per_dalrrd_inspection_hi,25000,"DALRRD inspectorate cost per referral (upper): rural/multi-site, full sampling, legal-letter and follow-up enforcement | dist=gamma(25,1000) | DALRRD inspectorate unit cost",costs.coord_per_action
p_dalrrd_action_given_referral,0.30,"P(DALRRD inspectorate takes site action | confirmed EHP referral worth referring): includes both true positives and confirmed FPs warranting any inspection | dist=beta(30,70) | DALRRD inspectorate working assumption",costs.coord_per_action
